CaseMonth,OnStreet,Serious_and_Fatal_Injuries
1,CAMERON COURT,0
1,CAMERON HILL DRIVE,0
1,CAMERON STREET,0
1,CAMILLE DRIVE,0
1,CAMOMILE LANE,0
1,CAMP ROAD,0
1,CAMPBELL PARK,0
1,CAMPBELL ROAD,0
1,CAMPBELL STREET,0
1,CAMPFIRE ROAD NORTH,0
1,CAMPFIRE ROAD SOUTH,0
1,CAMPFIRE ROAD,0
1,CAMPUS DRIVE,0
1,CANAL LANDING BOULEVARD,0
1,CANAL PARK PLACE,0
1,CANAL ROAD,0
1,CANAL STREET,0
1,CANAL VIEW BOULEVARD,0
1,CANAL WOODS,0
1,CANALSIDE DRIVE,0
1,CANARY STREET,0
1,CANASTA ROAD,0
1,CANDLEWOOD DRIVE,0
1,CANDLEWOOD ROAD,0
1,CANDY LANE,0
1,CANE PATCH,0
1,CANE PATCH ROAD,0
1,CANFIELD PLACE,0
1,CANFIELD ROAD,0
1,CANNING STREET,0
1,CANNOCK DRIVE,0
1,CANTERBURY COURT,0
1,CANTERBURY ROAD,0
1,CANTON STREET,0
1,CANYON TRAIL,0
1,CAPE COD WAY,0
1,CAPE HENRY TRAIL,0
1,CAPEN ROAD,0
1,CAPRI DRIVE,0
1,CAPRON COURT,0
1,CAPRON STREET,0
1,CAPTIVA CROSSING,0
1,CARACAS DRIVE,0
1,CARACUS DRIVE,0
1,CARAWAY LANE,0
1,CARDIANA DRIVE,0
1,CARDIFF PARK,0
1,CARDILE DRIVE,0
1,CARDINAL DRIVE,0
1,CARDINAL LANE,0
1,CARDOGAN SQ,0
1,CAREFREE LANE,0
1,CARL STREET,0
1,CARLEE COURT,0
1,CARLETON STREET,0
1,CARLING ROAD,0
1,CARLISLE STREET,0
1,CARLSAM DRIVE,0
1,CARLSON ROAD,0
1,CARLTON STREET,0
1,CARMAS DRIVE,0
1,CARMAS ENTRANCE,0
1,CARNEY CIRCLE,0
1,CAROLINE STREET,0
1,CARRIAGE COURT,0
1,CARRIAGE HOUSE LANE,0
1,CARRIAGE PATH COURT,0
1,CARRIE MARIE LANE,0
1,CARRINGTON DRIVE,0
1,CARROLL STREET,0
1,CARRY LANE,0
1,CARTER DRIVE,0
1,CARTER ROAD,1
1,CARTER STREET,0
1,CARTHAGE ALLEY,0
1,CARTHAGE DRIVE,0
