CaseYear,OnStreet,Serious_and_Fatal_Injuries
2012,BLACKWELL LANE,0
2012,BLAKESLEE STREET,0
2012,BLAYDON LOOP,0
2012,BLAZING STAR CIRCLE,0
2012,BLEACKER ROAD,0
2012,BLEAKER ROAD,0
2012,BLEILE TERRACE,0
2012,BLOOMFIELD PLACE,0
2012,BLOOMINGDALE STREET,0
2012,BLOSS STREET,0
2012,BLOSSOM CIRCLE,0
2012,BLOSSOM ROAD,2
2012,BLUE ASPEN WAY,0
2012,BLUE BIRCH DRIVE,0
2012,BLUE CREEK DRIVE,0
2012,BLUE GRASS LANE,0
2012,BLUE PINE CIRCLE,0
2012,BLUE RIDGE ROAD,0
2012,BLUE SPRUCE DRIVE,0
2012,BLUE VISTA TRAIL,0
2012,BLUFF DRIVE,0
2012,BLUHM ROAD,0
2012,BLY STREET,0
2012,BOARDMAN STREET,0
2012,BOBBIE DRIVE,0
2012,BOBRICH DRIVE,0
2012,BOCA AVENUE,0
2012,BOCES BOULEVARD,0
2012,BOCK STREET,0
2012,BOHRER ALLEY,0
2012,BOLTON TRAIL,0
2012,BOND STREET,0
2012,BONESTEEL CIRCLE,0
2012,BONESTEEL STREET,0
2012,BONITA DRIVE,0
2012,BONNIE BRAE AVENUE,0
2012,BOOTHE STREET,0
2012,BORCHARD STREET,0
2012,BORDEAUX WAY,0
2012,BORROWDALE DRIVE,0
2012,BOSTON STREET,0
2012,BOSWELL STREET,0
2012,BOSWORTH FIELD,0
2012,BOTT PLACE,0
2012,BOUCKHART AVENUE,0
2012,BOUGHTON AVENUE,0
2012,BOUGHTON HILL DRIVE,0
2012,BOUGHTON HILL ROAD,2
2012,BOULEVARD PARKWAY,0
2012,BOULTER INDUSTRIAL PARK,0
2012,BOULTER INDUSTRIAL PARKWAY,0
2012,BOVEE ROAD,0
2012,BOWEN ROAD,0
2012,BOWERMAN ROAD,0
2012,BOWERY STREET,0
2012,BOWMAN STREET,0
2012,BOX CAR DRIVE,0
2012,BOXART STREET,0
2012,BOXWOOD LANE,0
2012,BOYD DRIVE,0
2012,BOYS CLUB PLACE,0
2012,BRACKLEY CIRCLE,0
2012,BRADBURN STREET,0
2012,BRADDOCK ROAD,0
2012,BRADDOCK STREET,0
2012,BRADFIELD STREET,0
2012,BRADFORD ROAD,0
2012,BRADFORD STREET,0
2012,BRAGDON DRIVE,0
2012,BRAGDON PLACE,0
2012,BRAGGS ALLEY,0
2012,BRAINTREE CRESCENT,0
2012,BRAM HALL DRIVE,0
2012,BRAMBLEWOOD LANE,0
2012,BRAMBURY DRIVE,0
2012,BRANCH STREET,0
2012,BRANCHBROOK DRIVE,0
2012,BRANCHWOOD LANE,0
2012,BRANDON ROAD,0
2012,BRANDON WOODS DRIVE,0
2012,BRANDT POINT DRIVE,0
2012,BRANDY BROOK LANE,0
2012,BRANDY WINE TERRACE,0
2012,BRANDYWINE LANE,0
2012,BRANDYWINE TERRACE,0
2012,BRANNON LANE,0
2012,BRASS CASTLE,0
2012,BRASSER DRIVE,0
2012,BRATTLEBORO DRIVE,0
2012,BRAUNSTON DRIVE,0
2012,BRAYER STREET,0
2012,BRAYTON ROAD,0
2012,BREBEUF DRIVE,0
2012,BRECK STREET,0
2012,BRECKENRIDGE DRIVE,0
2012,BREEZEWAY DRIVE,0
2012,BREEZEWOOD COURT,0
2012,BREMEN STREET,0
2012,BRENTWOOD DRIVE,0
2012,BRENTWOOD LANE,0
2012,BRENTWOOD STREET,0
2012,BRETT ROAD,0
2012,BRETTON WOODS DRIVE,0
2012,BREWER STREET,0
2012,BREWERTON DRIVE,0
2012,BRIAN DRIVE,0
2012,BRIANNA LANE,0
2012,BRIAR HILL DRIVE,0
2012,BRIAR LANE,0
2012,BRIAR PATCH ROAD,0
2012,BRIAR ROSE LANE,0
2012,BRIAR WOOD LANE,0
2012,BRIARCLIFF ROAD,0
2012,BRIARCLIFFE ROAD,0
2012,BRIARWOOD DRIVE,0
2012,BRIARWOOD LANE,0
2012,BRICK SCHOOL HOUSE ROAD,1
2012,BRICK SCHOOLHOUSE ROAD,0
2012,BRICKER STREET,0
2012,BRICKSCHOOLHOUSE ROAD,0
2012,BRICKSTONE CIRCLE,0
2012,BRIDGE VIEW DRIVE,0
2012,BRIDGEMAN ROAD,0
2012,BRIDGETOWN DRIVE,0
2012,BRIDGEWOOD DRIVE,0
2012,BRIDLE LANE,0
2012,BRIDLEWOOD TRAIL,0
2012,BRIGGS AVENUE,0
2012,BRIGGS PLACE,0
2012,BRIGGS STREET,0
2012,BRIGHT AUTUMN LANE,0
2012,BRIGHT OAKS DRIVE,0
2012,BRIGHTON HENRIETTA TOWN LINE ROAD,0
2012,BRIGHTON PARK,0
2012,BRIGHTON STREET,0
2012,BRIGHTWOODS LANE,0
2012,BRISTOL AVENUE,0
2012,BRISTOL VIEW DRIVE,0
2012,BRITTANY CIRCLE,0
2012,BRITTANY LA,0
2012,BRITTANY LANE,0
2012,BRITTANY WOODS,0
2012,BRITTON ROAD,0
2012,BRIZEE STREET,0
2012,BROAD STREET,0
